,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X_ouptut,Y_output,Z_output
mean,2.985698379299996e-07,0.0,0.0,3.9630986170000037e-07,-7.254160394299996e-08,0.0,4.5629600760000023e-07,-1.1705905057000005e-07,0.0,4.936654258999993e-07,-1.4578994796999987e-07,0.0,5.177755087999996e-07,-1.6467847636999997e-07,0.0,5.335777840000009e-07,-1.7767732066e-07,0.0,5.444698899999994e-07,-1.8680023955000006e-07,0.0,5.522434256000002e-07,-1.9353525987000012e-07,0.0,5.580396585999994e-07,-1.987234524800001e-07,0.0,5.625555420999998e-07,-2.028851487399999e-07,0.0,5.662208863000002e-07,-2.0634573638000009e-07,0.0,5.693032542000003e-07,-2.0931104874000012e-07,0.0,5.719709046000003e-07,-2.1191303285000017e-07,0.0,5.74331399e-07,-2.142377307699999e-07,0.0,5.764548036000007e-07,-2.1627594205999974e-07,0.0,5.783518821999999e-07,-2.1819364131999989e-07,0.0,5.800780449999996e-07,-2.1996929288000016e-07,0.0,5.817126817000001e-07,-2.216060941999999e-07,0.0,5.832416080999995e-07,-2.2313663556000032e-07,0.0,5.846706165000005e-07,-2.245466025599999e-07,0.0,0.9995388277999994,0.9995388277999997,0.25,6.071734075e-07,-2.47088093292e-07,0.0
std,1.5163833270884454e-07,1.0,1.0,2.0073842508176384e-07,4.5376989558545784e-08,1.0,2.3187987105219432e-07,7.321870268961237e-08,1.0,2.516761007544215e-07,9.079932808403556e-08,1.0,2.64685696980914e-07,1.0196542772620915e-07,1.0,2.7346722854826704e-07,1.0958578445065537e-07,1.0,2.7977913851146367e-07,1.1493427342255794e-07,1.0,2.8450729351904525e-07,1.1895433653222048e-07,1.0,2.882278903075674e-07,1.2217324640303795e-07,1.0,2.912936110816181e-07,1.249016835866638e-07,1.0,2.9392051388306163e-07,1.2732082896983662e-07,1.0,2.962418356314929e-07,1.2953543648957914e-07,1.0,2.983401270968599e-07,1.3160556049532722e-07,1.0,3.0026738290617015e-07,1.3356526147374628e-07,1.0,3.0205694231027846e-07,1.3537940330670961e-07,1.0,3.0371399250113104e-07,1.37163651747651e-07,1.0,3.0525806362315873e-07,1.388846235686352e-07,1.0,3.067396987339013e-07,1.4053229720263664e-07,1.0,3.0814635185917587e-07,1.4211576857557716e-07,1.0,3.094789118329089e-07,1.4362159357685463e-07,1.0,0.5687051820698193,0.5687051820698196,1.0,3.3329421633293406e-07,1.7292239422225368e-07,1.0
