# Time Dx Dy Dz magD
1 0 -3.4137e-07 7.60593e-06 7.61359e-06
2 0 -6.8274e-07 7.48785e-06 7.51891e-06
3 0 -1.02411e-06 6.19764e-06 6.28168e-06
4 0 -1.36548e-06 7.87461e-06 7.99212e-06
5 0 -1.70685e-06 7.61322e-06 7.80221e-06
6 0 -2.04822e-06 7.48487e-06 7.76006e-06
7 0 -2.38959e-06 7.38842e-06 7.76523e-06
8 0 -2.73096e-06 7.3387e-06 7.83037e-06
9 0 -3.07234e-06 8.56852e-06 9.10268e-06
10 0 -3.41371e-06 8.8648e-06 9.49937e-06
