10	X	Y	Z	200	X	Y	Z	
64	5.36177e-07	-2.12569e-07	-0.00135312	64	5.65301e-07	-2.42194e-07	-0.000447173	
65	5.36178e-07	-2.12568e-07	-0.00135312	65	5.65303e-07	-2.42194e-07	-0.000447173	
66	5.36177e-07	-2.12588e-07	-0.00135312	66	5.65304e-07	-2.42214e-07	-0.000447173	
67	5.36196e-07	-2.12596e-07	-0.00135312	67	5.65323e-07	-2.42224e-07	-0.000447173	
68	5.36196e-07	-2.12599e-07	-0.00135312	68	5.65325e-07	-2.42229e-07	-0.000447173	
69	5.36193e-07	-2.12599e-07	-0.00135312	69	5.65323e-07	-2.4223e-07	-0.000447173	
70	5.36193e-07	-2.12603e-07	-0.00135312	70	5.65323e-07	-2.42234e-07	-0.000447173	
71	5.36195e-07	-2.12603e-07	-0.00135312	71	5.65327e-07	-2.42234e-07	-0.000447173	
72	5.36195e-07	-2.12616e-07	-0.00135312	72	5.65327e-07	-2.42249e-07	-0.000447173	
73	5.36192e-07	-2.1262e-07	-0.00135312	73	5.65326e-07	-2.42254e-07	-0.000447173	
74	5.36192e-07	-2.12624e-07	-0.00135312	74	5.65327e-07	-2.42259e-07	-0.000447173	
75	5.36192e-07	-2.12624e-07	-0.00135312	75	5.65328e-07	-2.42259e-07	-0.000447173	
76	5.36192e-07	-2.12626e-07	-0.00135312	76	5.65328e-07	-2.42263e-07	-0.000447173	
77	5.36192e-07	-2.12628e-07	-0.00135312	77	5.65329e-07	-2.42265e-07	-0.000447173	
78	5.36192e-07	-2.12629e-07	-0.00135312	78	5.65329e-07	-2.42266e-07	-0.000447173	
79	5.36192e-07	-2.12629e-07	-0.00135312	79	5.65331e-07	-2.42266e-07	-0.000447173	
80	5.36192e-07	-2.1263e-07	-0.00135312	80	5.65331e-07	-2.42268e-07	-0.000447173	
81	5.36192e-07	-2.12631e-07	-0.00135312	81	5.65331e-07	-2.4227e-07	-0.000447173	
82	5.36192e-07	-2.12634e-07	-0.00135312	82	5.65332e-07	-2.42273e-07	-0.000447173	
83	5.36192e-07	-2.12635e-07	-0.00135312	83	5.65331e-07	-2.42274e-07	-0.000447173	
84	5.36191e-07	-2.12636e-07	-0.00135312	84	5.65331e-07	-2.42276e-07	-0.000447173	
85	5.36191e-07	-2.12636e-07	-0.00135312	85	5.65331e-07	-2.42277e-07	-0.000447173	
86	5.36191e-07	-2.12636e-07	-0.00135312	86	5.65332e-07	-2.42277e-07	-0.000447173	
87	5.36191e-07	-2.12637e-07	-0.00135312	87	5.65332e-07	-2.42277e-07	-0.000447173	
88	5.36192e-07	-2.12637e-07	-0.00135312	88	5.65333e-07	-2.42277e-07	-0.000447173	
89	5.36192e-07	-2.12636e-07	-0.00135312	89	5.65333e-07	-2.42277e-07	-0.000447173	
90	5.36191e-07	-2.12637e-07	-0.00135312	90	5.65333e-07	-2.42278e-07	-0.000447173	
91	5.36191e-07	-2.12637e-07	-0.00135312	91	5.65333e-07	-2.42278e-07	-0.000447173	
92	5.36191e-07	-2.12637e-07	-0.00135312	92	5.65333e-07	-2.42279e-07	-0.000447173	
93	5.36191e-07	-2.12637e-07	-0.00135312	93	5.65333e-07	-2.42279e-07	-0.000447173	
94	5.36191e-07	-2.12637e-07	-0.00135312	94	5.65333e-07	-2.42279e-07	-0.000447173	
95	5.36191e-07	-2.12637e-07	-0.00135312	95	5.65333e-07	-2.42279e-07	-0.000447173	
