Time	Converged residual 	BCloopCorr
1	9.39951e-11	75
2	9.22694e-11	75
3	9.04751e-11	79
4	8.92589e-11	76
5	8.93327e-11	55
6	9.52863e-11	55
7	9.72936e-11	73
8	9.35886e-11	73
9	9.29765e-11	72
10	9.44285e-11	75
