,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X_ouptut,Y_output,Z_output
mean,3.030850306253e-06,-1.1118964275719998e-06,0.0,3.1285902853600002e-06,-1.1844380446643002e-06,0.0,3.1885763660399997e-06,-1.2289555134639999e-06,0.0,3.22594591481e-06,-1.2576864085260001e-06,0.0,3.25005599804e-06,-1.2765749590629999e-06,0.0,3.26585824701e-06,-1.2895737903169999e-06,0.0,3.27675046215e-06,-1.298696663605e-06,0.0,3.2845238854800006e-06,-1.3054317565290003e-06,0.0,3.29032008183e-06,-1.310619924764e-06,0.0,3.2948359663599996e-06,-1.314781640172e-06,0.0,3.2985014159700005e-06,-1.3182422072639999e-06,0.0,3.30158376253e-06,-1.3212075189799999e-06,0.0,3.30425139168e-06,-1.323809513893e-06,0.0,3.3066119612799998e-06,-1.326134227383e-06,0.0,3.3087353019899996e-06,-1.32817244922e-06,0.0,3.31063240589e-06,-1.3300901257579999e-06,0.0,3.3123585774199994e-06,-1.3318657731919999e-06,0.0,3.3139931870500003e-06,-1.333502593732e-06,0.0,3.31552212324e-06,-1.335033144336e-06,0.0,3.3169511594900002e-06,-1.3364431002899998e-06,0.0,3.3394538338800004e-06,-1.358984520864e-06,0.0
std,2.576643691639279e-06,1.164428890054068e-06,1.0,2.608339573614892e-06,1.1870741421484735e-06,1.0,2.628936006922143e-06,1.2029542165819568e-06,1.0,2.642525493943106e-06,1.2142693438204156e-06,1.0,2.6518175578043927e-06,1.2225391602492425e-06,1.0,2.658388916661705e-06,1.2287762196424345e-06,1.0,2.663301426593362e-06,1.2336465658135084e-06,1.0,2.6671151762003727e-06,1.2376289680436305e-06,1.0,2.670200417721189e-06,1.2410048615722404e-06,1.0,2.6727885117149267e-06,1.2439519169829548e-06,1.0,2.6750250388633953e-06,1.2465827361032524e-06,1.0,2.6770032774119726e-06,1.248969918675647e-06,1.0,2.6787829929067503e-06,1.2511614781298394e-06,1.0,2.6804050352662055e-06,1.253189680457878e-06,1.0,2.68189586783768e-06,1.255042858990441e-06,1.0,2.683264806002866e-06,1.2568030309306384e-06,1.0,2.6845283856366412e-06,1.2584593442724215e-06,1.0,2.6857226584866503e-06,1.2600131013963597e-06,1.0,2.6868439017661474e-06,1.261476665160228e-06,1.0,2.68789535954058e-06,1.2628471464183313e-06,1.0,2.7052200923198773e-06,1.2864354551994808e-06,1.0
