# Time Dx Dy Dz magD
1 0 -3.4137e-07 7.60739e-06 7.61505e-06
2 0 -6.8274e-07 7.44873e-06 7.47996e-06
3 0 -1.02411e-06 6.19955e-06 6.28357e-06
4 0 -1.36548e-06 7.87016e-06 7.98774e-06
5 0 -1.70685e-06 7.61863e-06 7.80749e-06
6 0 -2.04822e-06 7.48911e-06 7.76415e-06
7 0 -2.38959e-06 7.39429e-06 7.77083e-06
8 0 -2.73096e-06 7.32783e-06 7.82018e-06
9 0 -3.07234e-06 8.56627e-06 9.10056e-06
10 0 -3.41371e-06 8.86219e-06 9.49694e-06
