Time solverPerfInitRes residualvf materialResidual outerCorrector
1 9.97568e-10 0 0 268 
2 9.87713e-10 0 0 255 
3 9.82536e-10 0 0 247 
4 9.62332e-10 0 0 240 
5 9.48781e-10 0 0 239 
6 9.96234e-10 0 0 232 
7 9.84596e-10 0 0 229 
8 9.45553e-10 0 0 227 
9 9.14748e-10 0 0 228 
10 9.848e-10 0 0 223 
