10	X	Y	Z	200	X	Y	Z	
74	5.33516e-07	-2.09933e-07	0	74	5.62361e-07	-2.39181e-07	0	
75	5.33653e-07	-2.10071e-07	0	75	5.62514e-07	-2.3934e-07	0	
76	5.33783e-07	-2.10203e-07	0	76	5.62658e-07	-2.39491e-07	0	
77	5.33906e-07	-2.10328e-07	0	77	5.62795e-07	-2.39634e-07	0	
78	5.34023e-07	-2.10446e-07	0	78	5.62925e-07	-2.3977e-07	0	
79	5.34133e-07	-2.10558e-07	0	79	5.63048e-07	-2.39898e-07	0	
80	5.34238e-07	-2.10664e-07	0	80	5.63165e-07	-2.4002e-07	0	
81	5.34338e-07	-2.10764e-07	0	81	5.63276e-07	-2.40135e-07	0	
82	5.34432e-07	-2.1086e-07	0	82	5.63381e-07	-2.40244e-07	0	
83	5.34522e-07	-2.1095e-07	0	83	5.6348e-07	-2.40348e-07	0	
84	5.34606e-07	-2.11036e-07	0	84	5.63574e-07	-2.40446e-07	0	
85	5.34687e-07	-2.11117e-07	0	85	5.63664e-07	-2.40539e-07	0	
86	5.34763e-07	-2.11194e-07	0	86	5.63748e-07	-2.40628e-07	0	
87	5.34835e-07	-2.11267e-07	0	87	5.63829e-07	-2.40711e-07	0	
88	5.34904e-07	-2.11337e-07	0	88	5.63905e-07	-2.40791e-07	0	
89	5.34969e-07	-2.11403e-07	0	89	5.63977e-07	-2.40866e-07	0	
90	5.35031e-07	-2.11465e-07	0	90	5.64046e-07	-2.40938e-07	0	
91	5.35089e-07	-2.11524e-07	0	91	5.64111e-07	-2.41005e-07	0	
92	5.35145e-07	-2.1158e-07	0	92	5.64172e-07	-2.4107e-07	0	
93	5.35197e-07	-2.11633e-07	0	93	5.64231e-07	-2.41131e-07	0	
94	5.35247e-07	-2.11684e-07	0	94	5.64286e-07	-2.41188e-07	0	
95	5.35294e-07	-2.11732e-07	0	95	5.64339e-07	-2.41243e-07	0	
96	5.35339e-07	-2.11777e-07	0	96	5.64389e-07	-2.41295e-07	0	
97	5.35382e-07	-2.1182e-07	0	97	5.64436e-07	-2.41345e-07	0	
98	5.35422e-07	-2.11861e-07	0	98	5.64481e-07	-2.41391e-07	0	
99	5.35461e-07	-2.119e-07	0	99	5.64524e-07	-2.41436e-07	0	
100	5.35497e-07	-2.11937e-07	0	100	5.64564e-07	-2.41478e-07	0	
101	5.35532e-07	-2.11972e-07	0	101	5.64603e-07	-2.41518e-07	0	
102	5.35564e-07	-2.12005e-07	0	102	5.64639e-07	-2.41556e-07	0	
103	5.35596e-07	-2.12036e-07	0	103	5.64673e-07	-2.41592e-07	0	
104	5.35625e-07	-2.12066e-07	0	104	5.64706e-07	-2.41626e-07	0	
105	5.35653e-07	-2.12094e-07	0	105	5.64737e-07	-2.41658e-07	0	
106	5.3568e-07	-2.12121e-07	0	106	5.64767e-07	-2.41689e-07	0	
107	5.35705e-07	-2.12147e-07	0	107	5.64795e-07	-2.41718e-07	0	
108	5.35729e-07	-2.12171e-07	0	108	5.64821e-07	-2.41746e-07	0	
109	5.35751e-07	-2.12194e-07	0	109	5.64847e-07	-2.41772e-07	0	
110	5.35773e-07	-2.12216e-07	0	110	5.64871e-07	-2.41797e-07	0	
111	5.35794e-07	-2.12236e-07	0	111	5.64893e-07	-2.41821e-07	0	
112	5.35813e-07	-2.12256e-07	0	112	5.64915e-07	-2.41844e-07	0	
113	5.35831e-07	-2.12275e-07	0	113	5.64935e-07	-2.41865e-07	0	
114	5.35849e-07	-2.12292e-07	0	114	5.64955e-07	-2.41885e-07	0	
115	5.35866e-07	-2.12309e-07	0	115	5.64973e-07	-2.41904e-07	0	
116	5.35881e-07	-2.12325e-07	0	116	5.64991e-07	-2.41923e-07	0	
117	5.35896e-07	-2.1234e-07	0	117	5.65007e-07	-2.4194e-07	0	
118	5.35911e-07	-2.12355e-07	0	118	5.65023e-07	-2.41956e-07	0	
119	5.35924e-07	-2.12368e-07	0	119	5.65038e-07	-2.41972e-07	0	
120	5.35937e-07	-2.12381e-07	0	120	5.65052e-07	-2.41987e-07	0	
121	5.35949e-07	-2.12393e-07	0	121	5.65066e-07	-2.42001e-07	0	
122	5.35961e-07	-2.12405e-07	0	122	5.65079e-07	-2.42014e-07	0	
123	5.35972e-07	-2.12416e-07	0	123	5.65091e-07	-2.42027e-07	0	
124	5.35982e-07	-2.12427e-07	0	124	5.65103e-07	-2.42039e-07	0	
125	5.35992e-07	-2.12437e-07	0	125	5.65114e-07	-2.42051e-07	0	
126	5.36001e-07	-2.12446e-07	0	126	5.65124e-07	-2.42061e-07	0	
127	5.3601e-07	-2.12455e-07	0	127	5.65134e-07	-2.42072e-07	0	
128	5.36019e-07	-2.12464e-07	0	128	5.65143e-07	-2.42082e-07	0	
129	5.36027e-07	-2.12472e-07	0	129	5.65152e-07	-2.42091e-07	0	
130	5.36034e-07	-2.1248e-07	0	130	5.65161e-07	-2.421e-07	0	
131	5.36042e-07	-2.12487e-07	0	131	5.65169e-07	-2.42108e-07	0	
132	5.36048e-07	-2.12494e-07	0	132	5.65176e-07	-2.42116e-07	0	
133	5.36055e-07	-2.12501e-07	0	133	5.65184e-07	-2.42124e-07	0	
134	5.36061e-07	-2.12507e-07	0	134	5.6519e-07	-2.42131e-07	0	
