# Time Dx Dy Dz magD
1 0 -3.4137e-07 0 3.4137e-07
2 0 -6.8274e-07 0 6.8274e-07
3 0 -1.02411e-06 0 1.02411e-06
4 0 -1.36548e-06 0 1.36548e-06
5 0 -1.70685e-06 0 1.70685e-06
6 0 -2.04822e-06 0 2.04822e-06
7 0 -2.38959e-06 0 2.38959e-06
8 0 -2.73096e-06 0 2.73096e-06
9 0 -3.07233e-06 0 3.07233e-06
10 0 -3.4137e-06 0 3.4137e-06
