Time solverPerfInitRes residualvf materialResidual outerCorrector
1 9.66799e-10 0 0 298 
2 9.75058e-10 0 0 284 
3 9.76986e-10 0 0 276 
4 9.62192e-10 0 0 271 
5 9.85626e-10 0 0 267 
6 9.63933e-10 0 0 263 
7 9.57319e-10 0 0 260 
8 9.71257e-10 0 0 256 
9 9.61499e-10 0 0 255 
10 9.56703e-10 0 0 253 
